tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230500,653448.8892,4859055.992,103.44065,20CM
230501,652142.8727,4860975.063,135.40692,20CM
230502,653447.2574,4859057.483,103.44974,20CM
230503,653422.8547,4859063.689,103.68414,20CM
230507,653423.5717,4859060.762,103.38204,20CM
230510,652143.1958,4860970.746,135.40683,20CM
230513,653447.143,4859056.429,103.54441,20CM
230527,652166.4549,4860974.062,134.89872,20CM
230529,653449.1343,4859055.675,103.493,20CM
230532,652173.0898,4860979.344,134.96213,20CM
230542,652168.3176,4860973.373,134.94629,20CM
230544,653445.1631,4859056.383,103.62263,20CM
230549,653445.4799,4859057.021,103.61432,20CM
230550,652170.7991,4860976.259,135.01971,20CM
230555,653450.6059,4859055.308,103.56049,20CM
230556,653443.4816,4859056.204,103.6818,20CM
230558,653421.0016,4859066.206,103.62064,20CM
230561,652166.9241,4860974.285,134.95063,20CM
230562,652142.7176,4860972.656,135.43422,20CM
230564,653445.5587,4859055.972,103.63041,20CM
230565,653421.5268,4859063.906,103.69066,20CM
230568,652142.374,4860972.167,135.43692,20CM
230569,653443.161,4859056.577,103.68746,X
230570,653418.6889,4859068.764,103.7279,20CM
230572,652141.9696,4860976.192,135.20924,20CM
230573,652167.068,4860974.895,134.81901,20CM
230575,653421.9229,4859067.279,103.73029,20CM
230576,652141.8707,4860977.361,135.42202,20CM
230578,653448.7444,4859056.617,103.46004,20CM
230579,653448.2739,4859054.838,103.57828,20CM
230580,652144.2255,4860970.651,135.45054,20CM
230582,652140.138,4860978.495,135.26601,20CM
230591,652142.8057,4860973.498,135.46738,20CM
230594,653422.6513,4859061.057,103.3398,20CM
230597,652143.3403,4860972.931,135.48484,20CM
230607,652174.4581,4860978.211,134.81442,20CM
230608,652142.5731,4860976.413,135.38503,20CM
230610,652142.0794,4860972.869,135.43659,20CM
230615,652141.6868,4860975.234,135.45365,20CM
230624,652143.0885,4860970.224,135.37153,20CM
230627,653421.3916,4859064.408,103.68965,20CM
230628,653420.1336,4859067.513,103.69213,20CM
230633,653445.5857,4859057.536,103.48842,20CM
230634,653447.0144,4859057.589,103.39936,20CM
230636,652141.6423,4860974.008,135.44476,20CM
230637,652170.0963,4860976.781,134.97765,20CM
230639,652173.6608,4860977.625,134.90855,20CM
230641,653447.6777,4859055.557,103.57718,20CM
230644,653422.9811,4859064.596,103.73405,20CM
230647,652142.9799,4860970.314,135.3852,20CM
230648,652172.4998,4860976.613,134.94178,20CM
230651,652170.9484,4860976.92,135.0081,20CM
230653,653443.7414,4859056.394,103.73782,20CM
230657,653424.3137,4859061.598,103.65608,20CM
230659,653450.3269,4859056.813,103.32391,20CM
