tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
231716,652170.9235,4860977.898,138.056518,20CM
230501,652142.9627,4860974.915,137.60295,20CM
230510,652142.921,4860970.654,137.622374,20CM
230527,652166.4509,4860974.073,138.182706,20CM
230532,652171.8111,4860978.767,138.113963,20CM
230542,652168.152,4860973.205,138.171453,20CM
230550,652170.4401,4860976.227,137.982898,20CM
230561,652166.1651,4860973.885,138.111254,20CM
230562,652142.7828,4860972.731,137.568022,20CM
230568,652142.5355,4860972.112,137.618837,20CM
230572,652141.9793,4860976.166,137.823563,X
230573,652167.2213,4860974.852,138.247002,20CM
230576,652142.1518,4860977.196,137.702912,20CM
230580,652144.182,4860970.428,137.588925,20CM
230582,652140.0919,4860978.496,137.741989,20CM
230591,652142.7085,4860973.562,137.577079,20CM
230597,652143.1971,4860972.878,137.543786,20CM
230607,652172.1028,4860977.04,138.088235,20CM
230608,652142.5608,4860976.408,137.640339,20CM
230610,652141.9798,4860972.856,137.571804,20CM
230615,652141.8463,4860975.346,137.683995,20CM
230624,652143.1899,4860970.345,137.671059,20CM
230636,652141.6165,4860974.181,137.591492,20CM
230637,652170.076,4860976.883,138.102041,20CM
230639,652173.3852,4860977.788,138.166867,20CM
230647,652142.7981,4860970.476,137.614862,20CM
230648,652170.1174,4860976.695,138.104381,20CM
230649,652170.182,4860975.856,138.101452,20CM
230651,652169.5172,4860976.133,138.075749,20CM
230660,652142.2819,4860973.711,137.587074,20CM
230666,652165.8265,4860973.364,138.142137,20CM
230672,652142.7933,4860973.392,137.569899,20CM
230682,652170.0821,4860976.475,138.053871,20CM
230703,652142.4418,4860975.848,137.718936,X
230718,652166.6165,4860972.869,138.14417,20CM
230743,652142.39,4860970.082,137.660069,20CM
230750,652172.4705,4860979.097,138.080588,20CM
230784,652143.2246,4860971.369,137.622673,20CM
230821,652167.2676,4860972.636,138.21528,20CM
230840,652140.9216,4860979.212,137.680729,20CM
230864,652169.3708,4860974.717,138.089094,20CM
230872,652143.3722,4860969.715,137.7124,20CM
230873,652172.5759,4860976.349,138.093628,20CM
230883,652168.6098,4860974.738,138.208735,20CM
230887,652142.856,4860974.731,137.600632,20CM
230891,652141.0327,4860977.666,137.738148,X
230894,652141.1686,4860976.106,137.698862,20CM
230900,652142.999,4860975.202,137.62315,20CM
230919,652143.5474,4860969.444,137.788852,20CM
230965,652167.4739,4860974.082,138.11525,20CM
230967,652172.4494,4860977.116,138.060081,20CM
230970,652141.8004,4860976.054,137.822998,20CM
230973,652168.6612,4860974.117,138.146674,20CM
230975,652168.9121,4860974.884,138.189661,20CM
230976,652172.25,4860977.825,138.055216,20CM
230977,652173.9309,4860977.313,138.182099,20CM
230978,652170.7086,4860976.537,138.096316,20CM
230983,652143.1491,4860975.001,137.562726,X
230985,652168.326,4860973.516,138.158178,20CM
230987,652142.8443,4860974.246,137.577906,20CM
230992,652142.9256,4860971.521,137.59817,20CM
230994,652167.4671,4860972.954,138.214841,20CM
230995,652167.8191,4860972.778,138.195088,20CM
230998,652171.6955,4860977.159,137.989985,20CM
230999,652169.6537,4860975.084,138.091016,20CM
231004,652141.1625,4860978.86,137.731647,20CM
231006,652169.3364,4860975.988,138.092443,20CM
231008,652173.5078,4860978.388,138.173371,20CM
231009,652142.719,4860975.383,137.683552,20CM
231010,652142.6673,4860975.639,137.709991,20CM
231014,652171.0434,4860978.218,138.033309,20CM
231015,652172.3031,4860978.797,138.051375,20CM
231018,652142.8295,4860972.361,137.615321,20CM
231023,652142.5985,4860970.794,137.596595,20CM
231025,652171.0479,4860976.886,138.077202,20CM
231030,652173.6213,4860976.859,138.17743,20CM
231032,652143.9983,4860971.295,137.538975,20CM
231033,652141.2312,4860977.673,137.703987,X
231034,652168.7964,4860975.475,138.232316,20CM
231040,652143.6375,4860969.956,137.721957,20CM
231043,652168.085,4860974.51,138.155064,20CM
231048,652167.6304,4860973.937,138.116778,20CM
231049,652141.9834,4860976.587,137.806037,20CM
231050,652142.8243,4860969.719,137.694324,20CM
231056,652170.3878,4860975.59,138.087541,20CM
231058,652173.1468,4860976.278,138.109859,20CM
231060,652172.7804,4860977.21,138.110984,20CM
231061,652141.0388,4860976.869,137.767864,20CM
231064,652169.2156,4860976.787,138.064678,20CM
231065,652142.6998,4860976.093,137.737691,20CM
231066,652144.3263,4860969.483,137.748715,20CM
231070,652168.3466,4860975.719,138.171686,20CM
231071,652140.475,4860978.148,137.788982,20CM
231073,652172.9872,4860977.787,138.142778,20CM
231075,652141.3211,4860976.306,137.809161,20CM
231077,652169.8061,4860974.839,138.086852,20CM
231079,652141.4137,4860979.043,137.71329,20CM
231080,652141.5311,4860978.361,137.673965,20CM
231081,652167.4995,4860974.645,138.19893,20CM
231082,652141.5632,4860977.301,137.658677,20CM
231083,652143.455,4860971.873,137.541194,20CM
231085,652143.4668,4860970.864,137.55891,20CM
